"행정구역","2025년12월_거주자 인구수","2025년12월_세대수","2025년12월_세대당 인구","2025년12월_남자 인구수","2025년12월_여자 인구수"
"대구광역시 수성구 (2726000000)","407,962","175,860","          2.32","195,886","212,076"
"대구광역시 수성구 범어1동(2726051000)","21,936","8,400","          2.61","10,478","11,458"
"대구광역시 수성구 범어2동(2726052000)","14,076","6,589","          2.14","6,730","7,346"
"대구광역시 수성구 범어3동(2726053000)","17,168","6,657","          2.58","8,195","8,973"
"대구광역시 수성구 범어4동(2726054000)","18,666","6,434","          2.90","9,213","9,453"
"대구광역시 수성구 만촌1동(2726055000)","20,490","8,599","          2.38","9,929","10,561"
"대구광역시 수성구 만촌2동(2726056000)","13,156","5,758","          2.28","6,561","6,595"
"대구광역시 수성구 만촌3동(2726056100)","20,871","7,582","          2.75","10,846","10,025"
"대구광역시 수성구 수성1가동(2726057000)","17,018","7,238","          2.35","7,661","9,357"
"대구광역시 수성구 수성2.3가동(2726058000)","10,229","4,150","          2.46","4,971","5,258"
"대구광역시 수성구 수성4가동(2726059000)","12,965","5,620","          2.31","5,934","7,031"
"대구광역시 수성구 황금1동(2726060100)","21,184","7,833","          2.70","10,135","11,049"
"대구광역시 수성구 황금2동(2726060200)","11,495","5,877","          1.96","5,469","6,026"
"대구광역시 수성구 중동(2726061000)","14,404","7,026","          2.05","7,025","7,379"
"대구광역시 수성구 상동(2726062000)","13,991","7,217","          1.94","6,755","7,236"
"대구광역시 수성구 파동(2726063000)","16,370","7,605","          2.15","7,802","8,568"
"대구광역시 수성구 두산동(2726064000)","14,718","7,477","          1.97","7,124","7,594"
"대구광역시 수성구 지산1동(2726065100)","18,744","9,896","          1.89","8,895","9,849"
"대구광역시 수성구 지산2동(2726065200)","18,345","8,465","          2.17","8,539","9,806"
"대구광역시 수성구 범물1동(2726066100)","9,804","5,692","          1.72","4,384","5,420"
"대구광역시 수성구 범물2동(2726066200)","15,613","6,488","          2.41","7,467","8,146"
"대구광역시 수성구 고산1동(2726067000)","31,388","12,293","          2.55","15,076","16,312"
"대구광역시 수성구 고산2동(2726068000)","25,840","10,713","          2.41","12,648","13,192"
"대구광역시 수성구 고산3동(2726069000)","29,491","12,251","          2.41","14,049","15,442"
