"행정구역","2025년12월_거주자 인구수","2025년12월_세대수","2025년12월_세대당 인구","2025년12월_남자 인구수","2025년12월_여자 인구수"
"대구광역시 달성군 (2771000000)","254,227","113,614","          2.24","128,713","125,514"
"대구광역시 달성군 화원읍(2771025000)","45,718","20,225","          2.26","22,518","23,200"
"대구광역시 달성군 논공읍(2771025300)","4,164","2,276","          1.83","2,263","1,901"
"대구광역시 달성군 논공읍공단출장소(2771025400)","10,846","5,844","          1.86","5,829","5,017"
"대구광역시 달성군 다사읍(2771025600)","51,659","20,862","          2.48","25,402","26,257"
"대구광역시 달성군 다사읍서재출장소(2771025700)","37,747","15,195","          2.48","19,137","18,610"
"대구광역시 달성군 유가읍(2771025900)","31,351","12,407","          2.53","15,909","15,442"
"대구광역시 달성군 옥포읍(2771026200)","22,586","10,657","          2.12","11,326","11,260"
"대구광역시 달성군 현풍읍(2771026500)","21,260","11,723","          1.81","11,221","10,039"
"대구광역시 달성군 가창면(2771031000)","6,801","3,515","          1.93","3,349","3,452"
"대구광역시 달성군 하빈면(2771033000)","3,185","1,888","          1.69","1,738","1,447"
"대구광역시 달성군 구지면(2771038000)","18,910","9,022","          2.10","10,021","8,889"
