"행정구역","2025년12월_거주자 인구수","2025년12월_세대수","2025년12월_세대당 인구","2025년12월_남자 인구수","2025년12월_여자 인구수"
"대구광역시 서구 (2717000000)","163,243","84,561","          1.93","80,741","82,502"
"대구광역시 서구 내당1동(2717051000)","13,887","6,489","          2.14","6,828","7,059"
"대구광역시 서구 내당2.3동(2717052500)","7,938","4,451","          1.78","3,821","4,117"
"대구광역시 서구 내당4동(2717054000)","14,158","7,574","          1.87","6,696","7,462"
"대구광역시 서구 비산1동(2717055000)","7,906","4,428","          1.79","3,960","3,946"
"대구광역시 서구 비산2.3동(2717056500)","7,697","4,559","          1.69","3,750","3,947"
"대구광역시 서구 비산4동(2717058000)","8,316","4,330","          1.92","4,023","4,293"
"대구광역시 서구 비산5동(2717059000)","4,811","2,917","          1.65","2,430","2,381"
"대구광역시 서구 비산6동(2717060000)","6,394","3,467","          1.84","3,115","3,279"
"대구광역시 서구 비산7동(2717061000)","8,734","5,093","          1.71","4,598","4,136"
"대구광역시 서구 평리1동(2717062000)","6,241","3,502","          1.78","3,116","3,125"
"대구광역시 서구 평리2동(2717063000)","6,957","3,379","          2.06","3,352","3,605"
"대구광역시 서구 평리3동(2717064000)","12,098","6,121","          1.98","6,025","6,073"
"대구광역시 서구 평리4동(2717065000)","15,254","7,861","          1.94","7,592","7,662"
"대구광역시 서구 평리5동(2717066000)","10,335","4,279","          2.42","5,155","5,180"
"대구광역시 서구 평리6동(2717066100)","5,416","2,697","          2.01","2,830","2,586"
"대구광역시 서구 상중이동(2717067500)","17,092","8,194","          2.09","8,449","8,643"
"대구광역시 서구 원대동(2717069500)","10,009","5,220","          1.92","5,001","5,008"
