"행정구역","2025년12월_거주자 인구수","2025년12월_세대수","2025년12월_세대당 인구","2025년12월_남자 인구수","2025년12월_여자 인구수"
"대구광역시 달서구 (2729000000)","515,632","237,479","          2.17","252,209","263,423"
"대구광역시 달서구 성당동(2729051500)","20,173","10,017","          2.01","9,748","10,425"
"대구광역시 달서구 두류1.2동(2729053500)","15,543","8,940","          1.74","7,607","7,936"
"대구광역시 달서구 두류3동(2729055000)","8,955","4,605","          1.94","4,310","4,645"
"대구광역시 달서구 감삼동(2729055500)","30,995","13,610","          2.28","15,099","15,896"
"대구광역시 달서구 죽전동(2729056300)","14,322","7,570","          1.89","7,066","7,256"
"대구광역시 달서구 장기동(2729056800)","15,381","7,026","          2.19","7,451","7,930"
"대구광역시 달서구 용산1동(2729057100)","28,195","12,474","          2.26","14,071","14,124"
"대구광역시 달서구 용산2동(2729057200)","24,987","11,134","          2.24","12,407","12,580"
"대구광역시 달서구 이곡1동(2729057600)","19,849","8,865","          2.24","9,904","9,945"
"대구광역시 달서구 이곡2동(2729057700)","14,236","6,822","          2.09","7,174","7,062"
"대구광역시 달서구 신당동(2729058500)","27,804","16,873","          1.65","13,978","13,826"
"대구광역시 달서구 본리동(2729059000)","22,478","9,522","          2.36","11,049","11,429"
"대구광역시 달서구 월성1동(2729060100)","39,812","13,326","          2.99","19,446","20,366"
"대구광역시 달서구 월성2동(2729060200)","13,610","7,893","          1.72","6,398","7,212"
"대구광역시 달서구 진천동(2729061500)","49,805","21,523","          2.31","24,229","25,576"
"대구광역시 달서구 유천동(2729061700)","33,084","11,021","          3.00","16,341","16,743"
"대구광역시 달서구 상인1동(2729062400)","32,412","12,790","          2.53","15,591","16,821"
"대구광역시 달서구 상인2동(2729062500)","16,922","8,651","          1.96","8,359","8,563"
"대구광역시 달서구 상인3동(2729062600)","9,616","5,920","          1.62","4,565","5,051"
"대구광역시 달서구 도원동(2729062800)","31,325","13,623","          2.30","14,913","16,412"
"대구광역시 달서구 송현1동(2729063000)","16,059","9,241","          1.74","8,022","8,037"
"대구광역시 달서구 송현2동(2729064000)","17,884","9,603","          1.86","8,474","9,410"
"대구광역시 달서구 본동(2729065000)","12,185","6,430","          1.90","6,007","6,178"
