"행정구역","2025년12월_거주자 인구수","2025년12월_세대수","2025년12월_세대당 인구","2025년12월_남자 인구수","2025년12월_여자 인구수"
"대구광역시 남구 (2720000000)","134,677","74,787","          1.80","63,966","70,711"
"대구광역시 남구 이천동(2720051500)","14,274","6,837","          2.09","6,698","7,576"
"대구광역시 남구 봉덕1동(2720053000)","7,782","4,676","          1.66","3,753","4,029"
"대구광역시 남구 봉덕2동(2720054000)","12,951","5,843","          2.22","6,111","6,840"
"대구광역시 남구 봉덕3동(2720055000)","14,151","7,523","          1.88","6,655","7,496"
"대구광역시 남구 대명1동(2720056000)","9,355","5,226","          1.79","4,537","4,818"
"대구광역시 남구 대명2동(2720057100)","11,565","7,088","          1.63","5,419","6,146"
"대구광역시 남구 대명3동(2720058600)","9,131","5,690","          1.60","4,419","4,712"
"대구광역시 남구 대명4동(2720059000)","9,210","5,403","          1.70","4,362","4,848"
"대구광역시 남구 대명5동(2720060000)","7,518","4,121","          1.82","3,580","3,938"
"대구광역시 남구 대명6동(2720061000)","10,474","5,730","          1.83","5,014","5,460"
"대구광역시 남구 대명9동(2720064000)","13,105","7,635","          1.72","6,348","6,757"
"대구광역시 남구 대명10동(2720065000)","7,933","4,732","          1.68","3,704","4,229"
"대구광역시 남구 대명11동(2720066000)","7,228","4,283","          1.69","3,366","3,862"
